   11.986112   11.627038
   35.958695   14.557325
   59.931279   15.887194
   83.903503   16.790962
  107.876086   17.474461
  131.848670   18.021036
  155.820894   18.474960
  179.793477   18.862166
  203.766060   19.199017
  227.738284   19.496466
  251.710868   19.762197
  275.683451   20.001772
  299.655675   20.219348
  323.628259   20.418106
  347.600842   20.600517
  371.573066   20.768532
  395.545649   20.923724
  419.518233   21.067353
  443.490457   21.200446
  467.463040   21.323849
  491.435624   21.438263
  515.407848   21.544284
  539.380431   21.642407
  563.353014   21.732956
  587.325238   21.816051
  611.297822   21.891559
  635.270405   21.959033
  659.242629   22.017613
  683.215213   22.065796
  707.187796   22.100318
