b c 6 0 0
b 11 c 0 0
6 9 b 0 0
13 9 6 0 0
c 14 6 0 0
9 12 b 0 0
c 4 a 0 0
c a 11 0 0
4 c 5 0 0
10 4 5 0 0
a 4 f 0 0
5 c 14 0 0
7 5 6 0 0
7 6 13 0 0
5 7 1 0 0
10 5 1 0 0
6 5 14 0 0
1 7 d 0 0
8 7 9 0 0
8 9 12 0 0
7 8 2 0 0
d 7 2 0 0
9 7 13 0 0
2 8 e 0 0
b 8 3 0 0
b 12 8 0 0
3 a b 0 0
f a 3 0 0
8 e 3 0 0
a 11 b 0 0
2 3 1 0 0
2 e 3 0 0
4 1 3 0 0
10 1 4 0 0
3 f 4 0 0
1 d 2 0 0
